,id,model,pam,price,retail_price,year,box,papers,gender,movement,case_size,case_material,bracelet_material,dial_type,w_resistance,date,link,img_path
0,170531,Luminor GMT,PAM00535,6890,8290,2016,Yes,Yes,Mens,Automatic,42 MM,Steel,Leather - Black,Black Baton,100 metres,25/10/2020 11:26:03,https://www.watchfinder.es/Panerai/LuminorGMT/PAM00535/42683/item/170531,../data/imgs/WF_panerai/170531_PAM00535_Luminor GMT.jpeg
1,170570,Luminor Marina,PAM00048,5210,,2001,Yes,Yes,Mens,Automatic,40 MM,Steel,Leather - Tan,Black Baton,300 metres,25/10/2020 11:26:07,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00048/48566/item/170570,../data/imgs/WF_panerai/170570_PAM00048_Luminor Marina.jpeg
2,169268,Luminor 8 Days,PAM00599,9240,,2004,Yes,Yes,Mens,Manual,44 MM,Steel - Black PVD,Leather - Grey,Black,300 metres,25/10/2020 11:26:10,https://www.watchfinder.es/Panerai/Luminor8Days/PAM00599/41355/item/169268,../data/imgs/WF_panerai/169268_PAM00599_Luminor 8 Days.jpeg
3,170669,Luminor Marina,PAM00113,4425,,2007,No,Yes,Mens,Manual,44 MM,Steel,Rubber - Black,White Arabic,300 metres,25/10/2020 11:26:13,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00113/13130/item/170669,../data/imgs/WF_panerai/170669_PAM00113_Luminor Marina.jpeg
4,171088,Luminor 1950,PAM00375,8905,11985,2012,Yes,Yes,Mens,Manual,47 MM,Composite,Leather - Brown,Black Quarter Arabic,100 metres,25/10/2020 11:26:17,https://www.watchfinder.es/Panerai/Luminor1950/PAM00375/30032/item/171088,../data/imgs/WF_panerai/171088_PAM00375_Luminor 1950.jpeg
5,150183,Radiomir Manual,PAM00439,12265,,2017,Yes,Yes,Mens,Manual,42 MM,Red Gold,Alligator - Brown,Brown Quarter Arabic,100 metres,25/10/2020 11:26:20,https://www.watchfinder.es/Panerai/RadiomirManual/PAM00439/23841/item/150183,../data/imgs/WF_panerai/150183_PAM00439_Radiomir Manual.jpeg
6,157965,Luminor Chrono,PAM00356,5545,,2011,Yes,Yes,Mens,Automatic,44 MM,Steel,Leather - Black,Black Baton,100 metres,25/10/2020 11:26:23,https://www.watchfinder.es/Panerai/LuminorChrono/PAM00356/22354/item/157965,../data/imgs/WF_panerai/157965_PAM00356_Luminor Chrono.jpeg
7,133387,Luminor Regatta,PAM00308,6665,,2008,Yes,Yes,Mens,Manual,44 MM,Steel,Rubber - Black,Black,100 metres,25/10/2020 11:26:26,https://www.watchfinder.es/Panerai/LuminorRegatta/PAM00308/28116/item/133387,../data/imgs/WF_panerai/133387_PAM00308_Luminor Regatta.jpeg
8,171699,Luminor Power Reserve,PAM00913,7225,,2018,Yes,Yes,Mens,Manual,44 MM,Titanium,Leather - Black,Blue Quarter Arabic,300 metres,25/10/2020 11:26:29,https://www.watchfinder.es/Panerai/LuminorPowerReserve/PAM00913/48778/item/171699,../data/imgs/WF_panerai/171699_PAM00913_Luminor Power Reserve.jpeg
9,116993,Luminor Marina,PAM00026,,9295,2001,Yes,Yes,Mens,Manual,44 MM,Steel - Black PVD,Crocodile - Black,Black Quarter Arabic,300 metres,25/10/2020 11:26:33,https://www.watchfinder.es/Panerai/LuminorMarina/PAM00026/36708/item/116993,../data/imgs/WF_panerai/116993_PAM00026_Luminor Marina.jpeg
